station_name,lat,lon,altitude
52 - Plaza de Santa Ana,40.4144226,-3.7007164,661.0
57 - Santa Cruz del Marcenado,40.4295658,-3.7126299,672.0
186 - General Pardiñas,40.4290555,-3.6782777,688.0
107 - Columela,40.4215246,-3.6884369,673.0
132 - Glorieta de los Cuatro Caminos,40.4463667,-3.7036675,706.0
41 - Antón Martín,40.4122047,-3.6991147,661.0
156 - Sor Ángela de la Cruz,40.4592351,-3.691533,718.0
6 - Colegio Arquitectos,40.424148,-3.698447,675.0
89 - Conde Peñalver,40.4272582,-3.6752024,695.0
53 - Plaza de Lavapiés,40.4083061,-3.7007111,635.0
92 - Claudio Coello,40.4262945,-3.6865463,678.0
115 - Ferraz,40.4253944,-3.7170448,659.0
144 - Juan Bravo 50,40.4323655,-3.6758555,690.0
196 - Prosperidad,40.4441388,-3.6751388,713.0
228 - San Delfín,40.39440607959559,-3.7080429728445563,591.0
29 - Marqués de Cubas,40.4162619,-3.6957355,657.0
129 - José Abascal,40.4383865,-3.6982353,704.0
61 - Narváez,40.4213983,-3.6752045,695.0
116a - Plaza de España A,40.423668,-3.713053,648.0
55 - Plaza de San Ildefonso,40.4239757,-3.7020842,679.0
223 - Ermita Santo,40.406837862773465,-3.7244893989507686,589.0
213 - Glorieta de Cádiz,40.38895,-3.70017,590.0
142 - Castellana 42,40.4334087,-3.6879154,664.0
151 - Orense 12,40.4489101,-3.6952943,704.0
204 - Cuatro Caminos 2,40.4476666,-3.7041666,714.0
63 - Ibiza,40.4179237,-3.6708959,679.0
200 - Quevedo,40.4336944,-3.7046666,686.0
168 - Batalla del Salado,40.4044722,-3.6959166,619.0
26 - Plaza de las Salesas,40.423855,-3.694475,669.0
85 - Puerta de Madrid,40.421501,-3.680008,688.0
112 - Paseo de Moret,40.4325991,-3.7246532,631.0
260 - Facultad Biología,40.4483322,-3.7272945,645.0
110 - Moncloa,40.4347895,-3.7200845,656.0
60 - Plaza de la Independencia,40.419752,-3.688398,660.0
184 - Marqués de Zafra,40.426,-3.6653055,685.0
76 - Puerta de Mariano de Cavia,40.4071304,-3.6751352,641.0
216 - Puerta del Ángel,40.413764,-3.728318,604.0
179 - Puente de Vallecas,40.3979722,-3.66925,602.0
167 - Segovia 45,40.413736,-3.717487,600.0
113 - Pintor Rosales,40.427657,-3.7205129,652.0
48 - Embajadores 2,40.4056107,-3.7022591,623.0
227 - Concordia,40.39382977920336,-3.6659362429356372,614.0
5 - Fuencarral,40.42852,-3.70205,675.0
128 - Cea Bermúdez,40.438994,-3.7154329,689.0
175 - Jaime el Conquistador,40.3962222,-3.6983055,585.0
220 - Plaza del Encuentro,40.40617,-3.65122,663.0
244 - Hospital Clínico,40.44003,-3.71757,679.0
158 - Alberto Alcocer,40.4585318,-3.684715,720.0
209 - Plaza de Castilla 2,40.4656779,-3.6887722,734.0
188 - Puente de Ventas,40.4311944,-3.6590555,665.0
246 - Santa Engracia 87,40.43604,-3.69928,698.0
224 - Caramuel,40.40913630273305,-3.728533714316331,612.0
173 - Puente Praga,40.3981798,-3.7023918,584.0
75 - Menéndez Pelayo,40.4082805,-3.6784838,653.0
193 - Ventas,40.4324722,-3.6655555,681.0
23 - Santo Domingo,40.4202834,-3.7081246,668.0
123 - Guzmán el Bueno,40.4306458,-3.7133412,678.0
172 - Delicias,40.4008888,-3.6935833,609.0
12 - San Hermenegildo,40.4284246,-3.7061931,685.0
91 - Príncipe de Vergara,40.426134,-3.6787441,685.0
45 - Puerta de Toledo,40.4070358,-3.7110513,634.0
20a - Banco de España A,40.4192342,-3.6954615,656.0
146 - María Francisca 1,40.4442258,-3.6787169,707.0
39 - Plaza de la Cebada,40.4112744,-3.7088337,654.0
218 - Camino Vinateros,40.41053,-3.65779,624.0
182 - Parque Roma,40.4186666,-3.6657777,666.0
125 - General Martínez Campos,40.435285,-3.6948626,691.0
58 - Augusto Figueroa,40.4222862,-3.697895,675.0
31 - Calle Mayor,40.4163638,-3.7068969,660.0
108 - Mártires Concepcionistas,40.4273005,-3.6706024,694.0
171 - Embajadores-Cáceres,40.39975,-3.6983888,604.0
49 - Casa Encendida,40.4060941,-3.6992759,632.0
239 - Francos Rodríguez,40.45673408797698,-3.708002730875242,719.0
197 - Parque Berlín,40.4515833,-3.6780555,712.0
199 - Fernando el Católico,40.4343611,-3.7149166,682.0
191 - Diego de león,40.4346388,-3.674,703.0
35 - Plaza del Cordón,40.4141931,-3.7103285,652.0
50 - Museo Reina Sofía,40.4083684,-3.6933463,641.0
222 - Antonio López,40.3917871,-3.7026789,586.0
69 - Puerta del Ángel Caído,40.409808,-3.688822,643.0
212 - Marqués de Vadillo,40.398247,-3.716591,586.0
54 - Barceló,40.4266828,-3.700423,685.0
155 - San Germán 57,40.4572824,-3.7009675,725.0
104 - Castellana,40.42677,-3.68958,664.0
38 - Plaza de los Carros,40.4114041,-3.7114762,650.0
16 - San Bernardo,40.4230721,-3.7075065,663.0
97 - Alcalá,40.4222969,-3.6805189,690.0
18 - Plaza de Pedro Zerolo,40.4207773,-3.6996502,667.0
161 - Paseo de la Florida,40.4219665,-3.7224983,592.0
74 - Puerta del Pacífico,40.4117627,-3.6766813,670.0
124 - Manuel Silvela,40.4309524,-3.6993465,685.0
219 - Marroquina,40.408264,-3.646697,665.0
111b - Arcipreste de Hita B,40.4341006,-3.7179687,666.0
133 - Raimundo Fernández,40.447125,-3.7001669,718.0
210 - Tres Cruces,40.419674,-3.7026735,692.0
138 - Paseo de la Castellana con Raimundo Fernández,40.4457414,-3.6917932,682.0
170 - Paseo de la Esperanza,40.401,-3.7043611,591.0
22 - Jacometrezo,40.4200783,-3.7065376,673.0
208 - Plaza de Castilla,40.4663611,-3.6886388,749.0
98 - Plaza de Felipe II,40.4239447,-3.6758383,689.0
165 - Entrada Matadero,40.3928821,-3.6975708,575.0
86 - Cibeles,40.4186516,-3.6933498,647.0
229 - C.D. Concepción,40.43715089959262,-3.64835857929032,680.0
160 - Colombia,40.4572466,-3.6763439,709.0
1a - Puerta del Sol A,40.4172137,-3.7018341,667.0
261 - Facultad Derecho,40.45109,-3.72937,653.0
248 - Torre Cepsa,40.47435,-3.68797,729.0
34 - Jacinto Benavente,40.4146755,-3.7036825,667.0
27 - Huertas,40.4132798,-3.6956178,655.0
236 - Paseo Imperial,40.40765396169372,-3.7172213778842007,600.0
79 - Puerta de Granada,40.4051451,-3.6803874,636.0
40 - Conde de Romanones,40.4138846,-3.7049407,673.0
25b - Plaza de Celenque B,40.4172781,-3.7063837,657.0
15 - San Vicente Ferrer,40.4262383,-3.7074453,665.0
181 - Retiro-Ibiza,40.41825,-3.6766111,683.0
178 - Junta Municipal Retiro,40.4029202,-3.6788343,630.0
71 - Doce de Octubre,40.4159569,-3.6738865,680.0
14 - Ventura Rodríguez,40.4260957,-3.713479,666.0
2 - Miguel Moya,40.4205886,-3.7058415,673.0
140 - Velázquez 130,40.4385127,-3.6831578,683.0
143 - Diego de León 52,40.4345973,-3.678492,701.0
51 - Ronda de Atocha,40.4075606,-3.6935205,637.0
254 - Pío XII,40.46041,-3.67712,719.0
203 - San Francisco de Sales,40.44175,-3.7144722,693.0
207 - Remonta,40.4630277,-3.6973333,731.0
43 - Jesús y María,40.4101564,-3.7025024,659.0
7 - Hortaleza,40.4251906,-3.6977715,667.0
94 - Biblioteca Nacional,40.4232153,-3.690756,656.0
147 - Doctor Arce 45,40.4483269,-3.6797296,714.0
102 - Velázquez,40.4211802,-3.6840229,682.0
70 - Puerta del Doce de Octubre,40.4153053,-3.6779232,668.0
177 - Legazpi,40.3914722,-3.6941944,576.0
87 - Ayala,40.427736,-3.6832566,691.0
37 - Plaza de San Francisco,40.4108,-3.714113,640.0
17 - Carlos Cambronero,40.4232649,-3.7038312,666.0
145 - Ortega y Gasset 87,40.429887,-3.6712823,695.0
195 - Avenida de América 1,40.4392222,-3.6754444,705.0
211 - Desengaño,40.42059,-3.70239,682.0
245 - Galileo,40.4364,-3.71019,691.0
83 - Pío Baroja,40.4132995,-3.6745323,668.0
205 - Estrecho,40.4535,-3.7032777,721.0
111a - Arcipreste de Hita A,40.4337322,-3.7175435,666.0
149 - Paseo de la Habana 42,40.4498613,-3.6881689,701.0
9 - Plaza de San Miguel,40.4156057,-3.7095084,658.0
11 - San Andrés,40.4269483,-3.7035918,675.0
59 - Plaza de Juan Pujol,40.4255495,-3.7043418,673.0
42 - Santa Isabel,40.4107085,-3.6982318,664.0
141 - Paseo de la Castellana - Glorieta de Emilio Castelar,40.4355143,-3.6892368,682.0
257 - INEF,40.43896,-3.72997,632.0
215 - Gutierre de Cetina,40.429706,-3.640994,688.0
157 - Castellana 164,40.4591366,-3.6894151,720.0
214 - Condesa de Venadito,40.44315,-3.65741,693.0
68 - Espalter,40.4128372,-3.6912023,639.0
96 - Castelló,40.422064,-3.6821793,688.0
154 - Orense 36,40.4548456,-3.6946218,710.0
117 - Altamirano,40.4309797,-3.7188898,670.0
148 - Serrano 210,40.4510188,-3.6817962,709.0
65 - Antonio Maura,40.4166834,-3.6894193,667.0
99 - Alcántara,40.4261851,-3.6738714,692.0
185 - Quinta Fuente del Berro,40.4250833,-3.6615277,677.0
163 - Paseo de la Esperanza,40.4035988,-3.7064516,614.0
235 - Embajadores 191,40.389258643579105,-3.6903589643353483,575.0
72 - Sainz de Baranda,40.4157413,-3.6691838,666.0
88 - Embajada de Italia,40.4313576,-3.6838303,693.0
8 - Alonso Martínez,40.4278682,-3.6954403,677.0
127 - Fernando el Católico,40.4338516,-3.708439,681.0
253 - Doctor Fleming,40.45546,-3.68844,715.0
73 - Plaza de los Astros,40.4114475,-3.6689089,645.0
82 - Niño Jesús,40.4084556,-3.6697526,632.0
78 - Pedro Bosch,40.400789,-3.6744,611.0
201 - Canal,40.4386944,-3.7038333,687.0
103 - Ortega y Gasset,40.43037,-3.68653,684.0
90 - General Pardiñas,40.4250361,-3.6837876,680.0
190 - Velázquez-Diego de León,40.4343333,-3.6835833,701.0
194 - Avenida de América 2,40.43725,-3.6772222,696.0
80b - Atocha B,40.4074902,-3.6901234,624.0
247 - Zurbano,40.43837,-3.69281,694.0
176 - Beata,40.39425,-3.6937222,585.0
30 - San Quintín,40.4192095,-3.711504,650.0
24 - Palacio de Oriente,40.417908,-3.710692,648.0
232 - José María Pereda,40.43272086245887,-3.6485306152875148,694.0
240 - Avenida Brasilia,40.43666,-3.66096,668.0
120 - Palos de la Frontera,40.4032208,-3.6944768,615.0
109 - Marqués de Salamanca,40.4300481,-3.6816402,685.0
135 - Plaza de San Juan de la Cruz,40.4415974,-3.6927821,679.0
1b - Puerta del Sol B,40.41731271011562,-3.701602938060457,671.0
33 - Carretas,40.4165039,-3.7030833,651.0
162 - Metro Pirámides,40.4034076,-3.7108108,613.0
28 - Sevilla,40.4181518,-3.6984368,672.0
114 - Quintana,40.4277456,-3.7174158,660.0
77 - Conde de Casal,40.40635,-3.670422,617.0
238 - San Germán 5,40.45619382579544,-3.6929376751795306,707.0
118 - Juan Martín,40.400781,-3.6882407,615.0
93 - Plaza de Colón,40.4257046,-3.6893698,655.0
202 - Parque Santander,40.4411388,-3.7080833,696.0
13 - Conde Duque,40.4273264,-3.7104417,663.0
251 - Corazón de María,40.44421,-3.66683,691.0
10 - Marqués de la Ensenada,40.42533,-3.69214,669.0
259 - Ciudad Universitaria 2,40.44342,-3.72693,639.0
62 - O'Donnell,40.4213148,-3.6724968,690.0
130 - Santa Engracia 127,40.44156,-3.70164,702.0
180 - Méndez Álvaro,40.3941388,-3.6758888,590.0
121 - Santa María de la Cabeza,40.4017926,-3.6987665,612.0
116b - Plaza de España B,40.423681,-3.710537,647.0
32 - Plaza de la Provincia,40.4150099,-3.7061032,662.0
217 - Pedro Rico,40.481086,-3.688463,726.0
150 - Castellana frente a Hermanos Pinzón,40.4488924,-3.6905604,690.0
256 - Reina Victoria,40.44635,-3.71383,692.0
95 - Villanueva,40.4226584,-3.6870548,670.0
47 - Embajadores 1,40.4047851,-3.7028265,617.0
233 - Marqués de Corbera 12,40.422962108947424,-3.6555552857442697,651.0
131 - Bravo Murillo 44,40.4418402,-3.7040344,698.0
164 - Paseo de las Delicias,40.3972616,-3.6945025,594.0
105 - Serrano,40.42699,-3.68745,679.0
242 - Avenida Bruselas,40.43865,-3.66301,683.0
134 - Agustín de Betancourt,40.4440297,-3.6956047,698.0
46 - Ribera de Curtidores,40.4053153,-3.7071259,621.0
3 - Plaza Conde Suchil,40.4302937,-3.7069171,676.0
126 - General Álvarez de Castro,40.4344731,-3.7015686,697.0
234 - Marqués de Corbera 52,40.426207143200884,-3.651034981803642,668.0
198 - Rubén Darío,40.4331111,-3.6915555,676.0
225 - Doctor Lozano,40.40248333540473,-3.660188083470652,630.0
174 - Madrid Río-Yeserías,40.3974444,-3.7065277,578.0
44 - Plaza de Nelson Mandela,40.4097617,-3.7040666,654.0
189 - Avenida Donostiarra,40.4351256,-3.6554918,676.0
226 - Sierra Toledana,40.39901531507069,-3.6607768678037744,631.0
36 - Plaza Ramales,40.4168,-3.71183,646.0
122 - Santa Engracia 14,40.4291992,-3.6967169,694.0
67 - Almadén,40.4108472,-3.693225,638.0
241 - Camilo José Cela,40.4378,-3.66779,696.0
139 - José Gutiérrez Abascal,40.4396792,-3.6907784,676.0
255 - López Pozas,40.46361,-3.68514,727.0
119 - Méndez Álvaro,40.4013216,-3.6863218,612.0
100 - Palacio de Deportes,40.42478,-3.67384,694.0
101 - Jorge Juan,40.4231526,-3.6691524,680.0
243 - Cartagena,40.43503,-3.67012,703.0
80a - Atocha A,40.4075685,-3.6902255,626.0
206 - Metro Tetuán,40.4607502,-3.6989925,719.0
84 - Valderribas,40.4032501,-3.6726019,615.0
221 - Pavones,40.400368,-3.634587,686.0
169 - Pirámides,40.4016111,-3.7138055,591.0
237 - Pablo Iglesias,40.451333,-3.710525,691.0
4 - Malasaña,40.4285524,-3.7025875,682.0
136 - Castellana 106,40.4453307,-3.690861,679.0
106b - Colón B,40.424963,-3.687745,656.0
258 - Ciudad Universitaria 1,40.44375,-3.72699,639.0
166 - Segovia 26,40.4138333,-3.7135833,625.0
81 - Cuesta de Moyano,40.409297,-3.691987,635.0
192 - Avenida de los Toreros,40.4318611,-3.6714166,698.0
187 - Alcalá-Ventas,40.4301666,-3.6638888,665.0
230 - Carlota O’Neill,40.44370542379883,-3.648958444298144,700.0
249 - Manuel Caldeiro,40.47938,-3.68532,732.0
106a - Colón A,40.4251002,-3.6877227,667.0
56 - Plaza del Carmen,40.4184192,-3.7032414,668.0
25a - Plaza de Celenque A,40.4173703,-3.7057791,661.0
183 - Doctor Esquerdo-Hermosilla,40.425635,-3.669339,693.0
231 - Derechos Humanos,40.43965673033275,-3.6557656204708775,681.0
137 - Plaza de la República Argentina,40.445411,-3.6853312,701.0
250 - Serrano 113,40.44106,-3.68609,705.0
159 - Paseo de la Habana 63,40.4543852,-3.6835926,710.0
252 - Chamartín,40.4716,-3.68391,726.0
